Social media post (text),Screenshot,Image,Linked media,Notes,Antisemitic (Y/N)
"Must read. Ukrainian man sharing his experiences with the war. Very instructive for understanding what to potentially expect if war breaks out and how to prepare. Our entire generation was swallowed and then spitted by revolution, war, cultural Marxism, fake pandemic and then war again. The only thing I want is the retribution to the globalist establishment that caused all of this. h/t: @CIG_telegram via @inmagnaexcitatio https://telegra.ph/What-this-war-of-mine-taught-me-about-the-reality-12-30 @OneStopPatriotNews",,,https://telegra.ph/What-this-war-of-mine-taught-me-about-the-reality-12-30,,Y
"You can quibble over semantics, but what they're referring to is ""Frankfurt School"" postmodernism, which is sometimes labeled ""cultural Marxism.""",,,,,Y
"Eventually, these shows will end up cancelling themselves out. That's in the design of social equity and critical race theory aka Cultural Marxism. The next evolution in entertainment will be A-sexual only clones where they all have the same everything and differences will be extinct.",,,,,Y
"That's great but you forgot to report on how we shouldn't be giving our kids and babies experimental bio weapons labeled as vaccines and how you guys are secretly helping to hide the death toll by the hundreds of thousands and how we should keeping our immunity up with vitamin C and d3 to name a few. Oh that's right, you guys took big pharma money. Well, you won't have to worry about too many kids being around to suffer the cultural Marxism you all have put at the top of the list.",,,,,N
>>410375719 Getting rid of the influence of feminism and cultural marxism would be a good start. Mental illness and loneliness wasn't anywhere near as bad as it'd become as a result of the introduction of these ideologies that are directly hostile to the west.,,,,,Y
"After understanding so many redpills about Jews, Cultural Marxism, The N.W.O. (e.g. the W.E.F., Bilderbergers, Ruling Bloodlines), The Kalergi Plan (White Replacement), etc. I just feel demoralized... What could I do about this for the sake of the world (I know what I must do for myself as an individual)? I don't want to live in a dystopian nightmare-world (which we are not far from as is).",,http://i.4cdn.org/pol/custom-thumbnail.jpg,,,Y
">>410199581 Then how do you explain hippies, LSD and cultural marxism in the 60s?You're really trying to tell me Buddy Holly wasn't part of a plan to create unwanted pregnancies conceived on lover's lookout and start the abortion craze leading to roe v wade?You're really trying to tell me the beatles *didn't* take cues from crowley himself?You're really trying to tell me the Grateful Dead werent part of a plan to fry the brains of the only resistance to the Vietnam War?You're really trying to tell me Liberace, Elton John and Freddy Mercury werent the og poster children for gay acceptance in pop culture?",,,,,N
"The fact that Time Magazine (a magazine I grew up with) would publish such an article just goes to show how low they’ve fallen into the pit of Cultural Marxism. The Leftists believe this shite, remember that.https://nypost.com/2022/12/30/time-magazine-roasted-for-article-suggesting-exercise-has-racist-origins/",,,https://nypost.com/2022/12/30/time-magazine-roasted-for-article-suggesting-exercise-has-racist-origins/,,Y
>>410010499 I unironically side with trannies over femoids. I fucking hate women and their disgusting hypocrisy. They only oppose cultural-Marxism when it effects them and their fellow front-holes. They have no concern whatsoever for the well-being of men or the issues that effect us.,,,,,N
everyone whos old enough to remember occupy knows this but cultural marxism took over education way earlier and was already a problem in the 90s,,,,,Y
"Just one day after Tate exposed Greta Thunberg and her lies and the globalist lies to brain wash teens into climate change to tax the sun for being to hot........ (The number one searched man in the world wide net , Tate was arrested the next day for human trafficking ? It's not coincidence that the GLOBALIST and Rockefellers, Rothschild who created climate change back in early 1900s at Bohemian Grove created climate change through Greta Thunberg great-grandfather Svante Arrhenius created greenhouse theory after being part of Bohemian Grove gatherings and was placed by ROCKEFELLERS family as green house gas guru < _so it's no coincidence the [ DS] came after Tate after he EXPOSED Greta as brainwashing teens into the climate hoax and then saying using these teens to bring in the taxation of human civilization because the sun is to hot 😂) Man, that was quick! How the Deep State CABAL arrested Tate as everything he says goes viral... https://newspunch.com/andrew-tate-speaks-out-following-arrest-matrix-goons-got-me-after-i-exposed-their-poster-child/",0.452,0.96,,,Y
"Just one day after Tate exposed Greta Thunberg and her lies and the globalist lies to brain wash teens into climate change to tax the sun for being to hot........ (The number one searched man in the world wide net , Tate was arrested the next day for human trafficking ? It's not coincidence that the GLOBALIST and Rockefellers, Rothschild who created climate change back in early 1900s at Bohemian Grove created climate change through Greta Thunberg great-grandfather Svante Arrhenius created greenhouse theory after being part of Bohemian Grove gatherings and was placed by ROCKEFELLERS family as green house gas guru < _so it's no coincidence the [ DS] came after Tate after he EXPOSED Greta as brainwashing teens into the climate hoax and then saying using these teens to bring in the taxation of human civilization because the sun is to hot 😂) Man, that was quick! How the Deep State CABAL arrested Tate as everything he says goes viral... https://newspunch.com/andrew-tate-speaks-out-following-arrest-matrix-goons-got-me-after-i-exposed-their-poster-child/",0.452,0.96,,,Y
"The ""doxxed by a pizza box"" thing was fake news. Created by a transgender wokeist.
Even if Tate is a ""tool,"" I still don't wish for his arrest or execution for simply speaking out against the globalist cabal. He has huge influence toward the younger generations and openly talks about the ""Satanic"" globalist cabal, so he must be destroyed. 
https://www.youtube.com/watch?v=ntX0hPJqjp0",0.496,0.94,,,Y
"Treasonous traitors such as criminal career politician thugs, deep state thugs, globalist thugs, and all abc agencies such as fbi and cia (the wef - World economic forum) need to be destroyed, toppled, taken down, taken out. FYI to the deep state thugs and globalist cabal b@st@rds, you will reap what you have sown...**Sin will take you farther than you want to go, keep you longer than you want to stay and make you pay way more than you want to pay. Keep up the good fight Alex! ❤️🇺🇸🩵 [show more]",0.523,0.461,,,Y
"Nope Globalist want us intertwined and run by the elites, Globalist don't lay tariffs on their friends you stupid fu****",0.536,0.912,,,Y
A globalist award served by a globalist king,0.509,0.042,,,N
"The Establishment GOP are RINOS in bed with the Left's power-addicted, globalist-depraved ideology. They're all complicit in the fraud of America & it's people to support their perversion of the truth, & destroy America as the world's beacon of godly freedom. Their power ""fix"" is the perks they get in powerful positions of authority. So, these globalist cons will fight & secure it by any criminal means necessary... no matter how many lives their agenda destroys! Because pathological liars don't believe in God's offer of mercy, they are merciless. So, they're embattled against the innocent, in or out of the womb, young or old. From their view on life, ""It's either them or us!""",0.516,0.94,,,Y
"There are those that have gone through the globalist training program who reject it. Look at Dr. Franis Boyle, received his doctorate with Kissinger at Harvard just like Klaus Schwab and yet he rejected his status as globalist chosen one and is instead a warrior for freedom and humanity, has been his entire career. He saw what was happening from day one with Covid-19 and sounded the alarm, including the WHO Pandemic Treaty, which heâs presently still doing.",0.485,0.784,,,N
"ULTRA RINO GLOBALIST traitor Abbott should of dumped these illegal immigrants back in Mexico. What ULTRA RINO GLOBALIST traitor Abbott is doing is all for show. If this traitor was serious about illegal immigration, he would close the Texas border and declare an invasion but Traitor Abbott doesn't have the stones to stand up to his corporate buddies and refuse to supply their corporations with cheap labor. Wake-up folks!!!ð",0.563,0.943,,,N
"Cult Of The Medics Ch.7 - Globalist Plandemic Depopulation Vaccines Evil Agenda,https://rumble.com/v235m1w-cult-of-the-medics-ch.7-globalist-plandemic-depopulation-vaccines-evil-agen.html",0.469,0.961,,,Y
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,